Programnamn;Programkod;Personnummer;Namn;Medelbetyg;Kurs;Kurskod;Poang;Obligatorisk;Betyg
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Surveymetodik med uppsats;HSTB21;10;1;VG
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Linjar algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Diskret matematik och logik;HMAA61;5;1;VG
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Envariabelanalys far statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;2287022663;Rafael Hastings;11.62;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;7077236048;Sterne Bessell;19.16;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Linjar algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Envariabelanalys far statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;5422967673;Stanley Wrigglesworth;9.58;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;9090724650;Deane Costadimas;20.00;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Linjar algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;1819689821;Shepperd Woolery;10.50;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;5889826443;Hermon Annas;10.71;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Data Mining;HSTC22;5;0;VG
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;8695664048;Larry Hoeksma;17.02;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Databaser: Design och programmering;HIBB31;5;1;VG
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;6203068074;Taber Willard;20.00;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Linjar algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Envariabelanalys far statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;5416984954;Byran Osadciw;6.71;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Vetenskapsfilosofi;HVTA52;5;0;VG
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Envariabelanalys far statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;7270100963;Con Gesino;16.99;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Vetenskapsfilosofi;HVTA52;5;0;VG
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;8403221295;Brigham MacPherson;13.85;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;4749168069;Stacy Reaume;20.00;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Envariabelanalys far statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;4319298201;Noby Milway;7.53;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Statistisk analys av samhallsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;3135793392;Ingrim Hutter;20.00;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;4917202363;Harland Boland;20.00;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;7068735496;Nels Whisler;13.12;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Linjar algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Statistisk analys av samhallsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Envariabelanalys far statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;1731975754;Leicester Polak;14.51;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;7411249316;Byrann Limeina;6.73;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;7411249316;Byrann Limeina;6.73;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7411249316;Byrann Limeina;6.73;Vetenskapsfilosofi;HVTA52;5;0;U
